epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.8386,1.86261,0.34373,0.88738,1.71886,0.00995146,0.00331715,0.00995146,0.00331715,0.00995146,0.00331715,0.00995146,0.00331715
2,164.298,1.6556,0.39052,0.91959,1.63721,0.0198856,0.00662854,0.0198856,0.00662854,0.0198856,0.00662854,0.0198856,0.00662854
3,243.754,1.59923,0.37006,0.89812,1.62742,0.0297538,0.00991793,0.0297538,0.00991793,0.0297538,0.00991793,0.0297538,0.00991793
4,318.389,1.56453,0.46222,0.93903,1.41655,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,392.996,1.48862,0.48268,0.95665,1.35847,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,470.237,1.41398,0.48531,0.95767,1.33422,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,543.916,1.36965,0.53048,0.95584,1.27096,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,617.623,1.34373,0.47985,0.94835,1.36316,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,692.486,1.31092,0.54912,0.96536,1.2103,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,770.275,1.31317,0.56046,0.9684,1.1455,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,846.286,1.28137,0.56431,0.97104,1.14724,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,921.381,1.27091,0.57545,0.9759,1.12768,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,995.547,1.25875,0.57343,0.97063,1.12692,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1070.25,1.24784,0.5797,0.97083,1.12359,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1144.76,1.23883,0.58477,0.97529,1.10635,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1221.02,1.23145,0.57261,0.97387,1.10928,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1295.24,1.23086,0.59287,0.97873,1.06507,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1369.88,1.22082,0.58922,0.97468,1.08549,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1444.38,1.21222,0.59449,0.97914,1.0689,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1518.86,1.19754,0.58335,0.97752,1.09342,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1595.09,1.18781,0.60867,0.97995,1.02987,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1669.79,1.17289,0.57748,0.97488,1.10943,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1744.05,1.17853,0.62123,0.98015,0.99589,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1819.76,1.16934,0.62163,0.98055,1.00388,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1897.13,1.16312,0.63844,0.97772,0.9751,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1975.01,1.16092,0.62528,0.97954,1.00545,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2052.55,1.14924,0.62629,0.98116,0.99064,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2130.16,1.13874,0.64817,0.98461,0.95439,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2209.27,1.1403,0.64412,0.98582,0.9631,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2287.42,1.13323,0.65343,0.9844,0.93638,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,2365.55,1.13677,0.64979,0.98521,0.94126,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,2979.47,1.13034,0.64634,0.98602,0.94136,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3214.62,1.12716,0.65303,0.98704,0.91523,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4013.01,1.12639,0.65586,0.9838,0.91925,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4090.18,1.12015,0.66356,0.98582,0.90953,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4167.06,1.11062,0.66862,0.98461,0.89532,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4244.04,1.10011,0.66376,0.98704,0.89112,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4321.03,1.0944,0.66255,0.98663,0.88415,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4397.85,1.09947,0.6747,0.98764,0.8617,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4474.71,1.0987,0.67632,0.98785,0.86444,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4551.33,1.09886,0.68645,0.98947,0.85555,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4874.21,1.08445,0.68807,0.98947,0.84077,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5578.67,1.09405,0.68969,0.98926,0.83298,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,6708.32,1.08555,0.68422,0.98886,0.83296,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,7744.09,1.0858,0.69799,0.99129,0.814,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,8074.39,1.07106,0.70205,0.9923,0.79872,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,8387.68,1.07262,0.70448,0.99068,0.79598,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,8974.27,1.0723,0.70346,0.9917,0.79297,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,9558.37,1.05222,0.70751,0.99089,0.78302,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,9859,1.05727,0.7065,0.99089,0.7816,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
