epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.1,1.49186,0.54708,0.99373,1.10136,0.00992908,0.00330969,0.00992908,0.00330969,0.00992908,0.00330969,0.00992908,0.00330969
2,206.421,1.07263,0.57827,0.99582,1.16755,0.0198633,0.0066211,0.0198633,0.0066211,0.0198633,0.0066211,0.0198633,0.0066211
3,301.704,1.0231,0.57777,0.99022,1.18907,0.0297315,0.00991052,0.0297315,0.00991052,0.0297315,0.00991052,0.0297315,0.00991052
4,396.635,1.00618,0.58137,0.9816,1.15786,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,494.115,0.93607,0.65513,0.99707,0.97465,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,588.819,0.87205,0.68523,0.99339,1.06669,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,684.324,0.83384,0.70681,0.99381,1.12022,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,778.136,0.81511,0.6966,0.99364,1.14555,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,873.116,0.78312,0.69828,0.99849,0.84496,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,968.517,0.78304,0.69669,0.99799,1.00434,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1064.93,0.7571,0.6946,0.99791,1.32095,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1163.26,0.74295,0.71099,0.99799,1.16641,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1259.82,0.73692,0.71341,0.99891,1.21486,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1371.99,0.72189,0.7186,0.99774,1.21939,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1480.47,0.70815,0.71918,0.99925,1.14841,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1582.96,0.70623,0.70597,0.99866,1.57234,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1681.8,0.69431,0.72688,0.99908,1.06171,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1788.94,0.681,0.72387,0.99908,1.13217,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1890.13,0.66249,0.73382,0.99866,1.11126,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1992.05,0.6685,0.71333,0.99908,0.90767,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2094.48,0.66334,0.70346,0.99808,1.56541,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2194.99,0.6474,0.72178,0.99783,1.21827,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2304.74,0.64624,0.74151,0.99866,0.94909,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2404.59,0.63348,0.73733,0.999,1.10534,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2503.19,0.63388,0.73181,0.99724,0.92145,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2600.85,0.62648,0.7252,0.99908,1.18025,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2708.12,0.62135,0.7283,0.99866,1.07542,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2814.04,0.60075,0.73206,0.99716,0.93137,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2916.64,0.61184,0.72822,0.99925,1.11371,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3015.68,0.59589,0.73549,0.99833,1.26322,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3113.1,0.592,0.74193,0.99757,1.27425,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3213.02,0.59376,0.7058,0.99649,1.52007,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3315.9,0.58356,0.73808,0.99933,1.03187,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3419.92,0.57545,0.74093,0.99657,1.10673,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3518.04,0.56652,0.74803,0.99866,1.185,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3623.78,0.55609,0.74452,0.99749,1.07386,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3721,0.56522,0.74026,0.99891,1.14052,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3817.27,0.53943,0.74285,0.99925,1.22988,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3923.02,0.54527,0.74344,0.99891,1.03518,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4035.37,0.54384,0.74427,0.99774,1.21797,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4134.72,0.54222,0.74954,0.99808,1.31507,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4233.38,0.53413,0.74394,0.99657,1.44943,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4331.22,0.51599,0.74636,0.99766,1.3493,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4428.74,0.52269,0.74553,0.99791,1.27681,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4529.36,0.51963,0.75255,0.99783,1.33741,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4627.55,0.50727,0.74954,0.99866,1.21026,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4725.86,0.50492,0.74954,0.99749,1.40874,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4825.94,0.50354,0.74452,0.99824,1.47918,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4923.3,0.50167,0.74845,0.99849,1.35716,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5023.09,0.50709,0.75238,0.999,1.41139,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5121.89,0.47626,0.74829,0.99824,1.49753,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5220.04,0.48239,0.75163,0.99916,1.41852,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6843.23,0.47055,0.74987,0.99891,1.28087,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,6939.47,0.46843,0.7533,0.99891,1.43677,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
